dataset,policy,n_activities,n_good_terms,n_bad_terms,mean_reward,std_reward,mean_length,median_cycle_days,mean_cycle_days,real_median_cycle_days,real_median_steps,good_term_pct,bad_term_pct,truncated_pct,good_pct_of_concluded,real_good_pct,top_mgmt_action,top_mgmt_rate
BPIC2012,Random,24,4,3,13.36,17.171,20.32,1.009,2.731,0.8085351157407407,9.0,18.6,81.4,0.0,18.6,17.7,assign_to_primary_team,30.9
BPIC2012,FIFO,24,4,3,7.347,16.261,72.3,7.224,10.597,0.8085351157407407,9.0,13.4,68.6,18.2,16.3,17.7,assign_to_primary_team,100.0
BPIC2012,Greedy,24,4,3,19.963,11.82,14.5,0.081,0.844,0.8085351157407407,9.0,16.6,83.4,0.0,16.6,17.7,skip_optional_subprocess,76.1
BPIC2012,Empirical Markov,24,4,3,7.062,17.945,26.78,9.466,15.229,0.8085351157407407,9.0,18.4,81.6,0.0,18.4,17.7,assign_to_primary_team,100.0
BPIC2012,Reward Greedy,24,4,3,6.596,16.409,74.99,7.36,11.053,0.8085351157407407,9.0,14.4,64.4,21.2,18.3,17.7,assign_to_primary_team,100.0
BPIC2012,RL,24,4,3,30.69,5.071,8.01,0.053,0.562,0.8085351157407407,9.0,17.8,82.2,0.0,17.8,17.7,assign_to_primary_team,94.8
BPIC2015,Random,356,2,3,17.948,19.051,54.27,69.525,123.711,68.44025462962964,48.0,81.4,15.2,3.4,84.3,82.7,assign_to_primary_team,21.5
BPIC2015,FIFO,356,2,3,-139.748,20.612,177.0,74.388,118.256,68.44025462962964,48.0,3.0,1.2,95.8,71.4,82.7,assign_to_primary_team,100.0
BPIC2015,Greedy,356,2,3,21.404,18.678,19.9,9.336,18.542,68.44025462962964,48.0,79.2,18.4,2.4,81.1,82.7,skip_optional_subprocess,52.9
BPIC2015,Empirical Markov,356,2,3,-124.251,28.728,174.25,53.85,81.221,68.44025462962964,48.0,5.4,1.2,93.4,81.8,82.7,assign_to_primary_team,100.0
BPIC2015,Reward Greedy,356,2,3,-11.35,50.419,99.68,31.586,89.027,68.44025462962964,48.0,48.2,8.8,43.0,84.6,82.7,assign_to_primary_team,100.0
BPIC2015,RL,356,2,3,23.929,24.788,33.64,13.775,34.17,68.44025462962964,48.0,79.2,14.8,6.0,84.3,82.7,assign_to_primary_team,38.6
BPIC2017,Random,26,2,4,21.127,11.557,45.69,10.977,21.525,19.087739212962962,31.0,53.4,45.0,1.8,54.3,52.0,assign_to_primary_team,27.9
BPIC2017,FIFO,26,2,4,-0.672,28.437,93.65,0.735,1.749,19.087739212962962,31.0,38.6,32.4,29.0,54.4,52.0,assign_to_primary_team,100.0
BPIC2017,Greedy,26,2,4,4.173,20.359,92.55,8.146,13.73,19.087739212962962,31.0,30.8,27.8,41.4,52.6,52.0,skip_optional_subprocess,40.7
BPIC2017,Empirical Markov,26,2,4,-47.228,0.0,150.0,2.762,2.957,19.087739212962962,31.0,0.0,0.0,100.0,,52.0,assign_to_primary_team,100.0
BPIC2017,Reward Greedy,26,2,4,16.271,21.946,77.32,4.409,7.817,19.087739212962962,31.0,40.0,36.6,23.6,52.2,52.0,assign_to_primary_team,100.0
BPIC2017,RL,26,2,4,32.096,1.707,22.82,4.898,6.003,19.087739212962962,31.0,50.4,49.6,0.0,50.4,52.0,assign_to_primary_team,93.8
